Date,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Daily Return_Apple,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Daily Return_Microsoft,CORESTICKM159SFRBATL,Inflation Rate
2021-06-30,136.96,63261390.0,136.17,137.41,135.87,0.004621139881170633,270.9,21656460.0,270.69,271.3598,269.6043,-0.0018422991893883855,2.558145,-0.1826109859237368
2021-07-31,144.395,74857255.0,144.415,145.10500000000002,143.57999999999998,-0.0019018125045557333,286.39,23970900.0,287.555,287.9299,285.55215,-0.0037374478917395204,2.323597,-9.168674957830781
2021-08-31,151.83,86453120.0,152.66,152.8,151.29,-0.0084247648902821,301.88,26285340.0,304.42,304.5,301.5,-0.005632596594090655,2.332419,0.3796699685874927
2021-09-30,141.5,89056660.0,143.66,144.38,141.28,-0.009311769236154954,281.92,32343640.0,285.71,287.83,281.62,-0.007323943661971755,2.610662,11.929374610651022
2021-10-31,153.4,131552380.0,151.825,154.95,150.6,0.011132932156760311,306.255,37614625.0,310.515,312.80499999999995,305.305,-0.012633245930145198,3.007604,15.204649242222867
2021-11-30,165.3,174048100.0,159.99,165.52,159.92,0.03157763354967558,330.59,42885610.0,335.32,337.78,328.99,-0.017942548198318642,3.184384,5.87776848281889
2021-12-31,177.57,64062260.0,178.09,179.23,177.26,-0.0035353535353535026,336.32,18000800.0,338.51,339.355,335.85,-0.008841211835435625,3.456458,8.544007255406383
2022-01-31,174.78,115541600.0,170.16,175.0,169.51,0.026125755885633595,310.98,46444540.0,308.95,312.38,306.37,0.00882372023616429,3.965498,14.727214969775426
2022-02-28,165.12,95056630.0,163.06,165.42,162.43,0.0016378525932667642,298.79,34627460.0,294.31,299.14,293.0,0.004977969123137527,4.280304,7.938624606543732
2022-03-31,174.61,103049300.0,177.84,178.03,174.4,-0.01777577769027394,308.31,33422070.0,313.9,315.14,307.89,-0.01768304339514437,4.534344,5.935092460722413
2022-04-30,161.72500000000002,103383850.0,163.45499999999998,164.345,160.62,-0.01156097090875624,290.09000000000003,35624885.0,293.215,294.955,288.40999999999997,-0.011348475291482307,4.703935,3.7401441090486376
2022-05-31,148.84,103718400.0,149.07,150.66,146.84,-0.00534616412723854,271.87,37827700.0,272.53,274.77,268.93,-0.0050139071878202435,4.950974,5.251751990620623
2022-06-30,136.72,98964470.0,137.25,138.37,133.77,-0.018027723910076787,256.83,31730870.0,257.05,259.53,252.9,-0.013179128563743925,5.39633,8.995320920691551
2022-07-31,146.97,93477780.0,148.78,149.47500000000002,145.45499999999998,-0.014331337255522936,259.15,28261350.0,261.22,263.32,257.115,-0.009441600635828662,5.59073,3.602448330624708
2022-08-31,157.22,87991090.0,160.31,160.58,157.14,-0.010634950600969084,261.47,24791830.0,265.39,267.11,261.33,-0.005704072707913399,5.951312,6.449640744589713
2022-09-30,138.2,124925300.0,141.28,143.1,138.0,-0.030039303761931535,232.9,35694830.0,238.29,240.54,232.73,-0.01936842105263159,6.348017,6.665841078404222
2022-10-31,153.34,97943170.0,153.16,154.24,151.92,-0.015410299216643164,232.13,28357270.0,233.76,234.92,231.15,-0.01585619197015309,6.312946,-0.5524717403875834
2022-11-30,148.03,111380900.0,141.4,148.72,140.55,0.04859389388680335,255.14,47594240.0,240.57,255.33,239.86,0.061623600882120266,6.422543,1.736067439829192
2022-12-31,146.16,88627680.0,142.05,146.53,141.41500000000002,0.028807436453891166,251.475,37067655.0,242.01,251.64,241.4025,0.04131816606258376,6.538167,1.800283781673384
2023-01-31,144.29,65874460.0,142.7,144.34,142.28,0.00902097902097898,247.81,26541070.0,243.45,247.95,242.945,0.021012731243047256,6.487554,-0.7741160481217313
2023-02-28,147.41,50547000.0,147.05,149.08,146.83,-0.0034478096268252267,249.42,22490950.0,249.07,251.49,248.73,-0.0029581068116405485,6.525,0.5771975077201619
2023-03-31,164.9,68749790.0,162.44,165.0,161.91,0.015644247351564333,288.3,32765980.0,283.73,289.27,283.0,0.01496215455025518,6.390946,-2.054467432950202
2023-04-30,171.075,84187540.0,169.885,172.175,169.33499999999998,0.007681119727671604,308.345,39358265.0,308.01,312.605,305.16499999999996,0.0032239594344826705,6.264224,-1.9828363437901064
2023-05-31,177.25,99625290.0,177.33,179.35,176.76,-0.0002820078962211259,328.39,45950550.0,332.29,335.94,327.33,-0.008514235681289839,5.975255,-4.613005537477588
2023-06-30,193.97,85213220.0,191.63,194.48,191.26,0.02310248430824413,340.54,26832760.0,337.75,342.73,337.2,0.01638561408744965,5.586684,-6.503002800717283
2023-07-31,196.45,38824110.0,196.06,196.49,195.26,0.0031660113363629616,335.92,25446020.0,336.92,337.695,333.36,-0.007240594615361862,5.405751,-3.2386474695901835
2023-08-31,187.87,60794470.0,187.84,189.12,187.48,0.0011723954169997608,327.76,26410950.0,329.2,330.9099,326.78,-0.003132698683050106,5.172225,-4.31995480368963
2023-09-30,179.32,52820245.0,178.595,180.01,177.69,0.0019955582111718106,332.935,23338115.0,334.025,334.95495,330.735,-0.00038049656514721475,4.95977,-4.107613261217368
2023-10-31,170.77,44846020.0,169.35,170.9,167.9,0.0028187210053438605,338.11,20265280.0,338.85,339.0,334.69,0.0023717055527556763,4.882928,-1.5493057137730193
2023-11-30,189.95,48794370.0,189.84,190.32,188.19,0.003062787136294043,378.91,30554420.0,378.49,380.09,375.47,0.0001583740266595246,4.688293,-3.9860305128398332
2023-12-31,187.175,52131085.0,188.44,188.70999999999998,186.26999999999998,-0.008147398178289855,388.245,39212760.0,392.725,397.705,386.34000000000003,-0.013393976793909745,4.554396,-2.855986176631886
2024-01-31,184.4,55467800.0,187.04,187.1,184.35,-0.019357583492873753,397.58,47871100.0,406.96,415.32,397.21,-0.026946327614479015,4.603922367,1.08744094716402
2024-02-29,180.75,136682600.0,181.27,182.57,179.53,-0.0036930878624186203,413.64,31947260.0,408.64,414.2,405.92,0.014519768468556737,4.403102398,-4.361932130729174
2024-03-31,175.54000000000002,101308690.0,177.3,178.78,174.765,-0.010981990617088211,401.485,30364315.0,405.065,408.18,397.545,-0.00879978015354016,4.509212494,2.409893897725346
2024-04-30,170.33,65934780.0,173.33,174.99,170.0,-0.0182708933717578,389.33,28781370.0,401.49,402.16,389.17,-0.03211932877563706,,
2024-05-31,170.33,65934780.0,173.33,174.99,170.0,-0.0182708933717578,389.33,28781370.0,401.49,402.16,389.17,-0.03211932877563706,,
